artist,born-died,period,school,url,base,nationality,birth_year_clean,death_year_clean,clean_name
"BLOEMAERT, Abraham",(1566-1651),Baroque,painter,https://www.wga.hu/html/b/bloemaer/index.html,Utrecht,Dutch,1566,1651,Abraham Bloemaert
"BLOEMAERT, Frederick",(c. 1616-1690),Baroque,graphic,https://www.wga.hu/html/b/bloemaer/frederic/index.html,Utrecht,Dutch,1616,1690,Frederick Bloemaert
"BLOEMAERT, Hendrick",(1601-1672),Baroque,painter,https://www.wga.hu/html/b/bloemaer/hendrick/index.html,Utrecht,Dutch,1601,1672,Hendrick Bloemaert
"BLOEMEN, Jan Frans van",(1662-1749),Baroque,painter,https://www.wga.hu/html/b/bloemen/jan_frans/index.html,Rome,Flemish,1662,1749,Jan Frans van Bloemen
"BLOEMEN, Norbert van",(1670-c. 1746),Baroque,painter,https://www.wga.hu/html/b/bloemen/norbert/index.html,Flanders,Flemish,1670,1746,Norbert van Bloemen
"BLOEMEN, Pieter van",(1657-c. 1720),Baroque,painter,https://www.wga.hu/html/b/bloemen/pieter/index.html,Antwerp,Flemish,1657,1720,Pieter van Bloemen
"BLOMMENDAEL, Jan",(1650-1707),Baroque,sculptor,https://www.wga.hu/html/b/blommen/index.html,Netherlands,Dutch,1650,1707,Jan Blommendael
"BLOMMENDAEL, Reyer van",(1628-1675),Baroque,painter,https://www.wga.hu/html/b/blommend/index.html,Netherlands,Dutch,1628,1675,Reyer van Blommendael
"BLONDEEL, Lanceloot",(1498-1561),Northern Renaissance,painter,https://www.wga.hu/html/b/blondeel/index.html,Flanders,Flemish,1498,1561,Lanceloot Blondeel
"BLONDEL, François",(1628-1686),Baroque,architect,https://www.wga.hu/html/b/blondelf/index.html,Paris,French,1628,1686,François Blondel
"BLONDEL, Jacques-François",(1705-1774),Rococo,architect,https://www.wga.hu/html/b/blondelj/index.html,Paris,French,1705,1774,Jacques-François Blondel
"BLONDEL, Merry-Joseph",(1761-1853),Neoclassicism,painter,https://www.wga.hu/html/b/blondel/index.html,Paris,French,1761,1853,Merry-Joseph Blondel
"BLOOT, Pieter de",(1601-1658),Baroque,painter,https://www.wga.hu/html/b/bloot/index.html,Rotterdam,Dutch,1601,1658,Pieter de Bloot
"BLÉROT, Ernest",(1870-1957),Art Nouveau,architect,https://www.wga.hu/html/b/blerot/index.html,Brussels,Belgian,1870,1957,Ernest Blérot
"BOBADILLA, Jerónimo de",(c. 1620-1709),Baroque,painter,https://www.wga.hu/html/b/bobadill/index.html,Seville,Spanish,1620,1709,Jerónimo de Bobadilla
"BOCANEGRA, Pedro Anastasio",(1638-1689),Baroque,painter,https://www.wga.hu/html/b/bocanegr/index.html,Granada,Spanish,1638,1689,Pedro Anastasio Bocanegra
"BOCCACCINO, Boccaccio",(c. 1460-1525),Early Renaissance,painter,https://www.wga.hu/html/b/boccacci/boccacci/index.html,Cremona,Italian,1460,1525,Boccaccio Boccaccino
"BOCCACCINO, Camillo",(1504/5-1546),Early Renaissance,painter,https://www.wga.hu/html/b/boccacci/camillo/index.html,Cremona,Italian,1504,1546,Camillo Boccaccino
"BOCCATI, Giovanni di Piermatteo",(c. 1420-1487),Early Renaissance,painter,https://www.wga.hu/html/b/boccati/index.html,Umbria,Italian,1420,1487,Giovanni di Piermatteo Boccati
"BOCCHI, Faustino",(1659-1742),Baroque,painter,https://www.wga.hu/html/b/bocchi/index.html,Brescia,Italian,1659,1742,Faustino Bocchi
"BOCKSBERGER, Hans the Elder",(c. 1510-before 1569),Mannerism,painter,https://www.wga.hu/html/b/bocksber/index.html,Austria,Austrian,1510,1569,Hans the Elder Bocksberger
"BOECKHORST, Jan van",(c. 1604-1668),Baroque,painter,https://www.wga.hu/html/b/boeckhor/index.html,Antwerp,Flemish,1604,1668,Jan van Boeckhorst
"BOECKSTUYNS, Jan Frans",(c. 1650-1734),Baroque,sculptor,https://www.wga.hu/html/b/boeckstu/index.html,Mechelen,Flemish,1650,1734,Jan Frans Boeckstuyns
"BOEL, Pieter",(1622-1674),Baroque,painter,https://www.wga.hu/html/b/boel/index.html,Antwerp,Flemish,1622,1674,Pieter Boel
"BOELEMA DE STOMME, Maerten",(1611-c. 1664),Baroque,painter,https://www.wga.hu/html/b/boelema/index.html,Haarlem,Dutch,1611,1664,Maerten Boelema De Stomme
"BOEYERMANS, Theodor",(1620-1678),Baroque,painter,https://www.wga.hu/html/b/boeyerma/index.html,Antwerp,Flemish,1620,1678,Theodor Boeyermans
"BOFFRAND, Germain",(1667-1754),Baroque,architect,https://www.wga.hu/html/b/boffrand/index.html,Paris,French,1667,1754,Germain Boffrand
"BOFILL, Guillem",(d. 1427),Medieval,architect,https://www.wga.hu/html/b/bofill/index.html,Girona,Catalan,1427,,Guillem Bofill
"BOGAERT, Hendrick",(c. 1626-after 1674),Baroque,painter,https://www.wga.hu/html/b/bogaer/index.html,Amsterdam,Dutch,1626,1674,Hendrick Bogaert
"BOGAERT, Jan",(active c. 1550),Northern Renaissance,potter,https://www.wga.hu/html/b/bogaert/index.html,Antwerp,Flemish,1550,,Jan Bogaert
"BOGDÁNY, Jakab",(c. 1660-1724),Baroque,painter,https://www.wga.hu/html/b/bogdany/index.html,London,Hungarian,1660,1724,Jakab Bogdány
"BOGUET, Nicolas-Didier",(1755-1839),Rococo,painter,https://www.wga.hu/html/b/boguet/index.html,Rome,French,1755,1839,Nicolas-Didier Boguet
"BOILLY, Louis Léopold",(1761-1845),Romanticism,painter,https://www.wga.hu/html/b/boilly/index.html,France,French,1761,1845,Louis Léopold Boilly
"BOISSEAU, Émile-André",(1842-1923),Realism,sculptor,https://www.wga.hu/html/b/boisseau/index.html,Paris,French,1842,1923,Émile-André Boisseau
"BOISSIEU, Jean-Jacques de",(1736-1810),Rococo,graphic,https://www.wga.hu/html/b/boissieu/index.html,Lyon,French,1736,1810,Jean-Jacques de Boissieu
"BOITAC, Diogo",(c. 1460-c. 1528),Medieval,architect,https://www.wga.hu/html/b/boitac/index.html,Portugal,Portuguese,1460,1528,Diogo Boitac
"BOITO, Camillo",(1836-1914),Realism,architect,https://www.wga.hu/html/b/boito/index.html,Italy,Italian,1836,1914,Camillo Boito
"BOIZOT, Louis-Simon",(1743-1809),Neoclassicism,sculptor,https://www.wga.hu/html/b/boizot/index.html,France,French,1743,1809,Louis-Simon Boizot
"BOL, Ferdinand",(1616-1680),Baroque,painter,https://www.wga.hu/html/b/bol/index.html,Amsterdam,Dutch,1616,1680,Ferdinand Bol
"BOL, Hans",(1534-1593),Mannerism,painter,https://www.wga.hu/html/b/bol_h/index.html,Flanders,Flemish,1534,1593,Hans Bol
"BOLDINI, Giovanni",(1842-1931),Impressionism,painter,https://www.wga.hu/html/b/boldini/index.html,Italy,Italian,1842,1931,Giovanni Boldini
"BOLDRINI, Niccolò",(c. 1500-c. 1570),High Renaissance,painter,https://www.wga.hu/html/b/boldrini/index.html,Venice,Italian,1500,1570,Niccolò Boldrini
"BOLGI, Andrea",(1605-1656),Baroque,sculptor,https://www.wga.hu/html/b/bolgi/index.html,Rome,Italian,1605,1656,Andrea Bolgi
"BOLLANDT, Heinrich",(1577-c. 1651),Baroque,painter,https://www.wga.hu/html/b/bollandt/index.html,Bayreuth,German,1577,1651,Heinrich Bollandt
"BOLLONGIER, Hans",(c. 1600-c. 1675),Baroque,painter,https://www.wga.hu/html/b/bollongi/index.html,Haarlem,Dutch,1600,1675,Hans Bollongier
